beer,Style,brewery,location,alcohol,calories,carbs,From brewery,Source
60 Minute IPA,IPA,DogfishHead,Domestic,0.0600,209,,n,BeerScience
American Amber Lager,Lager,Straub Brewery,Domestic,0.0410,136,10.5g,u,BEER100
American Lager,Lager,Straub Brewery,Domestic,0.0410,132,10.5g,u,BEER100
American Light,Light,Straub Brewery,Domestic,0.0320,96,7.6g,u,BEER100
Amstel Light,Light,Amstel Light,Imported,0.0350,95,5,y,Realbeer
Anchor Porter,Porter,Anchor,Domestic,0.0560,205,,u,Realbeer
Anchor Steam,Pale Ale,Anchor,Domestic,0.0490,153,16.0g,u,BEER100
Anheuser Busch Natural Ice,Ice,Anheuser Busch,Domestic,0.0590,157,8.9g,u,BEER100
Anheuser Busch Natural Light,Light,Anheuser Busch,Domestic,0.0420,95,3.2g,u,BEER100
Apocalypse IPA,IPA,10 Barrel,Domestic,0.0680,195,,n,BeerScience
Apricot Ale,Wheat,Pyramid,Domestic,0.0510,167,13,y,Realbeer
Asahi Draft Beer,Lager,Asahi (Japan),Imported,0.0500,146,,u,BEER100
Aspen Edge,Lager,Adolph Coors,Domestic,0.0410,94,2.6g,u,BEER100
Bachelor ESB,Stout,Deschutes,Domestic,0.0500,180,,u,Realbeer
Bard’s Gold (Gluten-Free),GF,Bard’s Tale Beer Co,Domestic,0.0460,155,14.2g,u,BEER100
Bass Ale,Pale Ale,Bass Brewers Ltd,Imported,0.0510,160,13.2,n,BeerScience
Beamish Stout,Stout,Beamish,Imported,0.0410,131,,u,Realbeer
Beck’s Beer,Pilsner,Brauerei Beck (Germany),Imported,0.0500,143,10.0g,u,BEER100
Beck’s Dark,Lager,Brauerei Beck (Germany),Imported,0.0480,146,11.0g,u,BEER100
Beck’s Light,Light,Brauerei Beck (Germany),Imported,0.0230,64,3.9g,u,BEER100
Belgian White Ale,Belgian White,New Belgium,Domestic,0.0520,155,13.7,n,BeerScience
Big Sky I.P.A.,IPA,Big Sky Brewing,Domestic,0.0620,195,*,u,BEER100
Big Sky Moose Drool Brown Ale,Brown,Big Sky Brewing,Domestic,0.0520,177,15.6g,u,BEER100
Big Sky Powder Hound (seasonal),Amber Ale,Big Sky Brewing,Domestic,0.0620,195,*,u,BEER100
Big Sky Scape Goat Pale Ale,Pale Ale,Big Sky Brewing,Domestic,0.0470,163,13.9g,u,BEER100
Big Sky Summer Honey Ale (seasonal),Honey Ale,Big Sky Brewing,Domestic,0.0470,154,11.6g,u,BEER100
Big Sky Trout Slayer Ale,Wheat,Big Sky Brewing,Domestic,0.0470,163,13.9g,u,BEER100
Big Wave Golden Ale,Golden Ale,Kona Brewing Co,Domestic,0.0440,132,10,y,BeerScience
Black Butte porter,Porter,Deschutes,Domestic,0.0520,192,,y,BeerScience
Blatz Beer,Unknown,Blatz,Domestic,0.0480,153,12.5g,u,BEER100
Blue Moon,Wheat,Adolph Coors,Domestic,0.0540,171,13.7g,u,BEER100
Blue Moon White,Wheat,Blue Moon,Domestic,0.0540,171,12.9,u,Realbeer
Breckenridge Brown Ale,Brown,Breckenridge Brewery,Domestic,0.0560,196,21.9g,u,BEER100
Breckenridge Red Ale,Red,Breckenridge Brewery,Domestic,0.0550,193,21.8g,u,BEER100
Broken Top Bock,Bock,Deschutes,Domestic,0.0700,233,,u,Realbeer
Bud Dry,Lager,Budweiser,Domestic,0.0500,130,7.8g,u,BEER100
Bud Ice,Ice,Budweiser,Domestic,0.0550,123,8.9,u,BEER100
Bud Ice Light,Light,Budweiser,Domestic,0.0500,115,7.5g,u,BEER100
Bud Light,Light,Budweiser,Domestic,0.0420,110,6.6,u,Realbeer
Bud Light Lime,Light,Budweiser,Domestic,0.0420,116,8.0g,u,BEER100
Bud Light Platinum,Light,Budweiser,Domestic,0.0600,137,4.4g,u,BEER100
Budweiser,Lager,Budweiser,Domestic,0.0500,145,10.6g,u,BEER100
